D001~D~LODHA ALTAMOUNT ROAD~18.968285~72.810399~LODHA ALTAMOUNT, C.S.NO. 1A/664 OF MALBAR HILL DIVISION, ALTAMOUNT ROAD (WASHINGTON HOUSE, DAHANUKAR MARG) IN D WARD~MULTISTOREY~RAMP~SS MULTI SERVICES~FALSE~A~0~204~0~0~~
D003~D~RUNWAL CUMBALLA HILL~18.95130043~72.79680337~THE RUNWAL BUILDING, PLOT BEARING C.S. NO.233 OF MALABAR CUMBALLA HILL DIVISION AT NEAPENSEA, OPP RUIA BUNGALOW IN D WARD~MULTISTOREY~RAMP~PRIME TOLL AND METAL PVT. LTD.~FALSE~A~0~57~0~0~~
FS001~F/S~KALPATARU AVANA~18.998241~72.842322~KALPATARU AVANA BUILDING, PLOT BEARING C.S. NO. 1/296 (PT) OF PAREL SEWRI DIVISION, GEN. NAGESH MARG, NEAR M.G.M HOSPITAL, IN F/S WARD~MULTISTOREY~RAMP~MANDEEPA ENTERPRISES~FALSE~C~512~553~0~0~~
FS004~F/S~CELESTIA BUILDING~18.993029~72.848037~CELESTIA BUILDING, PLOT BEARING C.S. NO. 163 OF PAREL-SEWRI DIVISION, SITUATED AT THE JUNCTION OF EXISTING 21.30 M WIDE TOKERSHI JIVRAJ ROAD AND THE PROPOSED 30.50 M WIDE D.P. ROAD, SEWRI, IN F/S WARD~MULTISTOREY~RAMP~MCGM~TRUE~A~0~166~75~36~~
GS001~G/S~LODHA EXCELUS~18.987179~72.829204~LODHA EXCELUS, PLOT BEARING C.S. 63 (PT) AND 64 OF LOWER PAREL DIVISION, APOLLO MILL COMPOUND, N.M. JOSHI MARG IN G/S WARD~MULTISTOREY~RAMP~AKTHAR ENTERPRISES PVT LTD~FALSE~B~0~817~0~30~~
GS002~G/S~ONE INDIABULLS~19.007346~72.833032~ONE INDIABULLS CENTER, C.T.S. NO. 841 OF LOWER PAREL DIVISION ON PLOT KNOWN AS JUPITER MILL COMPOUND SITUATED AT SENAPATI BAPAT MARG, LOWER PAREL, IN G/S WARD~MULTISTOREY~RAMP~SORIL INFRA RESOURCES LTD~FALSE~B~0~2370~0~0~~
GS003~G/S~RAHEJA~19.008065~72.822033~RAHEJA, PLOT BEARING C.S. 2/1629, PLOT NO. 249, 249 A OF WORLI SCHEME 52, LOWER PAREL (ARTESIA BUILDING, METAL BOX COMPANY, HIND CYCLE ROAD), G/S WARD~MULTISTOREY~RAMP~TRION PROPERTIES PVT LTD~FALSE~B~0~794~9~0~~
GS004~G/S~LODHA THE PARK~19.005207~72.82848~LODHA THE PARK, PLOT BEARING C.S. 464 OF LOWER PAREL DIVISION, NEXT O KAMALA MILLS, SENAPATI BAPAT MARG, IN G/S WARD~MULTISTOREY~RAMP~MCGM~TRUE~A~0~4328~0~237~~
GS005~G/S~INDIABULLS FINANCE CENTER~19.00989226~72.83529897~INDIABULLS FINANCE CENTER, PLOT BEARING F.P. NO. 612 AND 613 OF TPS IV MAHIM, ELPHINSTONE MILL, SENAPATI BAPAT MARG, IN G/S WARD~MULTISTOREY~RAMP~MCGM~TRUE~B~0~890~415~12~~
GS006~G/S~LODHA THE WORLD TOWERS~19.0024697~72.8270212~LODHA THE WORLD TOWERS, C.S. NO. 443, 444, 1/444, 446 OF LOWER PAREL DIVISION AT SENAPATI BAPAT MARG, SREENIWAS COTTON MILL NEXT TO KAMALA MILLS, IN G/S WARD~MULTISTOREY~RAMP~MCGM~TRUE~B~0~3856~0~0~~
HE001~H/E~MCGM PARKING LOT KALINA~19.07062786~72.86345546~C.S. NO. 5442-A OF VILLAGE KOLEKALYAN AT CST ROAD, KALINA, SANTACRUZ (E) (CYGNUS TOWER) IN H/E WARD~UNDERGROUND~RAMP~SAMPATI TRADING~FALSE~A~0~80~0~0~~
HE002~H/E~ULTRASPACE~19.072331~72.867929~C.S. NO. 5530-A OF VILLAGE KOLEKALYAN AT CST ROAD, KALINA, SANTACRUZ (E), INSIGNIA BUILDING IN H/E WARD~UNDERGROUND~RAMP~MANDEEPA ENTERPRISES~FALSE~A~0~409~0~0~~
HW001~H/W~TRIOS FASHION MALL~19.055267~72.832511~TRIOS FASHION MALL, C.S. NO. A/754, A/755, B/755 AND A/757 OF BANDRA AT HILL ROAD JUNCTION AND ICE FACTORY LANE, BANDRA (W) (BEAUPRIDE BUILDING, NEAR ELCO MARKET) IN H/W WARD~MULTISTOREY~ELEVATOR~AKTHAR ENTERPRISES PVT LTD~FALSE~A~0~92~0~0~~
KW001~K/W~RUNWAL OSHIWARA~19.14056~72.828392~RUNWAL BUILDING, C.S. NO. 620 (PT) OF VILLAGE OSHIWARA, OSHIWARA LINK ROAD AT ANDHERI (W), IN K/W WARD~UNDERGROUND~RAMP~MCGM~TRUE~A~0~450~65~0~~
KW004~K/W~MCGM PARKING LOT JAY PRAKASH ROAD~19.12971941~72.8249818~C.T.S. NO. 833/15 OF VILLAGE AMBIVALI AT JAY PRAKASH ROAD, PRATAP C.H.S LTD., NEAR OSHIWARA METRO STATION, ANDHERI (W), IN K/W WARD~UNDERGROUND~RAMP~MCGM~TRUE~A~0~144~0~0~~
L001~L~BOOMERANG BUILDING~19.113679~72.892193~C.T.S. 4A AND 4B AT VILLAGE SAKI, CHANDIVALI FARM ROAD (NEAR BOOMERANG BUILDING) IN L WARD, KURLA (WEST)~MULTISTOREY~RAMP~AKTHAR ENTERPRISES PVT LTD~FALSE~A~0~161~0~13~~
L002~L~MCGM PARKING LOT POWAI~19.118058~72.890765~LODHA, C.T.S. NO. 182/A/1 OF VILLAGE TUNGVE AT SAKI VIHAR ROAD (MCGM PARKING BUILDING) IN L WARD, KURLA (W)~MULTISTOREY~RAMP~AKTHAR ENTERPRISES PVT LTD~FALSE~A~0~185~0~0~~
N001~N~THE ADDRESS BY WADHWA GROUP~19.099283~72.918947~THE ADDRESS BY WADHWA GROUP, PLOT BEARING C.S. NO. 50, 50/1 TO 7 AND 50/35 TO 44 OF VILLAGE VIKHROLI AT L.B.S. MARG, NEAR R CITY MALL, VIKHROLI (W) IN N WARD~UNDERGROUND~RAMP~MCGM~TRUE~B~0~824~36~13~~
PS001~P/S~TOPIWALA CENTER~19.163961~72.847803~TOPIWALA CENTER, C.T.S. NO. 746/7 AND 746/1 (PT) OF VILLAGE PAHADI GOREGAON AT S.V. ROAD, GOREGAON (W) (TOPIWALA MARKET BUILDING, NEAR GOREGAON RAILWAY STATION (WEST)) IN P/S WARD~UNDERGROUND~RAMP~AKTHAR ENTERPRISES PVT LTD~FALSE~A~0~116~0~0~~
PS003~P/S~ROMELL~19.170007~72.853112~ROMELL PPL, PLOT BEARING C.T.S. NO. 175/4 AND 175/5 OF VILLAGE PAHADI GOREGAON, AT VISHVESHWAR ROAD, BEHIND UMIYA MATA MANDIR, GOREGAON (E), IN P/S WARD~MULTISTOREY~RAMP~GAMDEVI CONSTRUCTIONS LTD.~FALSE~A~0~298~0~8~~
PS004~P/S~LODHA GOREGAON~19.153844~72.855757~LODHA PPL, C.T.S. NO. 586/1, 586/5 TO 586/8 AND C.T.S. NO. 257/G, 257/4 AND 257/B (PT) OF VILLAGE PAHADI GOREGAON, NEAR HUB MALL, WESTERN EXPRESS HIGHWAY, GOREGAON (E) IN P/S WARD~MULTISTOREY~RAMP~MCGM~TRUE~B~0~982~20~21~~
RN004~R/N~CLUB AQUARIA~19.23962622~72.84812006~CLUB AQUARIA, PLOT BEARING C.T.S. NO. 1448/8A AND 1448/8D OF VILLAGE EKSAR AT DEVIDAS LANE, BORIVALI (W) IN R/N WARD~MULTISTOREY~RAMP~MCGM~TRUE~A~0~168~26~0~~
S001~S~RUNWAL GREENS~19.159985~72.94452~RUNWAL GREENS, C.T.S. NO. 681/A/7, 681/A/8 AND 681/A/9 OF VILLAGE NAHUR, GMLR ROAD, NAHUR (W) IN S WARD~UNDERGROUND~RAMP~SS MULTISERVICES~FALSE~C~0~1152~0~117~~
S010~S~LODHA SUPREME~19.129177~72.930867~LODHA SUPREME BUILDING, C.S. NO. 657/A (PT), 1293, 1293/1 TO 5, 1294/3 TO 7 OF VILLAGE KANJUR AT KANJUR VILLAGE ROAD, KANJURMARG (E) IN S WARD~MULTISTOREY~RAMP~HARI OM ENTERPRISES~FALSE~B~0~402~0~0~~
T001~T~RUNWAL DEVELOPERS~19.180989~72.947097~RUNWAL DEVELOPERS, C.S. NO. 884, 884/1 TO 10, 885 OF VILLAGE MULUND AT L.B.S. MARG, MULUND (W) (RUNWAL ANTHORIUM NEAR H.P. PETROL PUMP) IN T WARD~UNDERGROUND~RAMP~GAMDEVI CONSTRUCTIONS LTD.~FALSE~B~0~480~30~0~~
T003~T~VIKAS PALAZZO~19.16964191~72.95254599~VIKAS PALAZZO BUILDING, C.T.S. NO. 1348, 1349 AND 1350, S.NO. 1000 (PT) OF VILLAGE MULUND, JUNCTION OF PANDIT JAWAHARLAL NEHRU AND MADAN MOHAN MALAVIYA ROAD, NEAR MULUND RAILWAY STATION (W) IN T WARD~MULTISTOREY~RAMP~MCGM~TRUE~A~0~125~0~0~~
